Column1,Column2,Column3,Column4
14826,17988,1028327,1343410
14900,18092,1033248,1350493
15040,18331,1041895,1364515
15182,18566,1050841,1378700
15335,18825,1060473,1394325
15616,19296,1078045,1422550
15757,19532,1086885,1436758
15903,19776,1096012,1451433
16032,20001,1103983,1464654
16308,20463,1121225,1492277
16448,20701,1129973,1506713
16589,20942,1138824,1520958
16723,21170,1147164,1534561
16851,21391,1155062,1547483
16972,21548,1163287,1558736
17014,21596,1166275,1562443
17060,21645,1169503,1566192
17113,21710,1173185,1571298
17161,21767,1176582,1575623
17206,21815,1179763,1579295
17299,21922,1186316,1587771
17347,21978,1189727,1592043
17392,22028,1192847,1596122
17435,22076,1195904,1599802
17490,22141,1199757,1604751
17543,22206,1203486,1609828
17587,22251,1206585,1613206
17669,22345,1212360,1620717
17704,22384,1214840,1623766
17746,22430,1217798,1627493
17783,22471,1220429,1630623
17830,22525,1223719,1634862
17878,22579,1227114,1639045
17922,22630,1230206,1642947
17965,22681,1233221,1647028
18358,23124,1260872,1681761
18401,23175,1263953,1685762
18484,23269,1269786,1693225
18528,23320,1272903,1697098
18585,23386,1276924,1702126
18624,23432,1279678,1705709
18673,23486,1283109,1710105
18705,23521,1285366,1712818
18752,23574,1288717,1716975
18838,23674,1294756,1724842
18882,23719,1297849,1728156
18932,23777,1301348,1732699
18979,23835,1304640,1737386
19029,23891,1308230,1741610
19070,23937,1311078,1745217
19108,23979,1313761,1748461
19202,24086,1320383,1757089
19238,24125,1322926,1760087
19301,24198,1327365,1765876
19339,24241,1330023,1769114
19395,24305,1333995,1774053
19432,24348,1336576,1777470
19524,24450,1343072,1785533
19564,24495,1345906,1788983
19606,24542,1348908,1792696
19652,24598,1352085,1797115
19699,24651,1355386,1801229
19744,24699,1358592,1804952
19821,24786,1364032,1811705
19862,24832,1366902,1815352
19908,24886,1370101,1819780
19949,24933,1373026,1823293
20006,24999,1377044,1828489
20049,25046,1380071,1832314
20094,25095,1383285,1835991
20188,25204,1389887,1844516
20238,25259,1393392,1848786
20278,25304,1396251,1852367
20329,25364,1399791,1857170
20374,25412,1402939,1860842
20426,25474,1406619,1865665
20512,25572,1412713,1873240
20554,25621,1415624,1877173
20604,25676,1419181,1881451
20640,25717,1421732,1884728
20679,25759,1424495,1888084
20734,25834,1428158,1893485
20856,26046,1435749,1905848
21138,26524,1453333,1934463
21284,26766,1462490,1948811
21431,27013,1471729,1964052
21574,27250,1480706,1978313
21860,27733,1498596,2007202
21995,27961,1507002,2020746
22124,28178,1515050,2033583
22282,28442,1525012,2049658
22555,28905,1542024,2077331
22693,29139,1550674,2091135
22844,29391,1560137,2106658
22982,29626,1568728,2120611
23111,29842,1576827,2133371
23372,30291,1592963,2159888
23435,30378,1597209,2166009
23477,30427,1600205,2169590
23519,30473,1603144,2173090
23564,30526,1606266,2177311
23617,30588,1609990,2182075
23708,30692,1616403,2190265
23754,30744,1619674,2194305
23795,30790,1622533,2197992
23836,30836,1625444,2201628
23877,30882,1628336,2205275
23925,30936,1631731,2209538
24015,31038,1638078,2217417
24063,31093,1641456,2221663
24104,31138,1644307,2225196
24151,31194,1647608,2229527
24198,31248,1650939,2233715
24246,31302,1654301,2237978
24342,31414,1661098,2246829
24383,31460,1663968,2250436
24428,31507,1667185,2254154
24467,31552,1669931,2257743
24505,31593,1672609,2260745
24600,31704,1679277,2269341
24654,31767,1683042,2274379
24699,31819,1686225,2278318
24745,31867,1689464,2282062
24790,31922,1692627,2286503
24828,31965,1695332,2289912
24916,32062,1701556,2297637
24954,32104,1704261,2300721
25009,32169,1708084,2305862
25056,32221,1711394,2309865
25107,32280,1714967,2314463
25152,32334,1718133,2318590
25192,32378,1720970,2321966
25279,32478,1727075,2329892
25328,32534,1730563,2334164
25380,32593,1734197,2338805
25425,32644,1737380,2342779
25474,32701,1740791,2347256
25519,32752,1743988,2351321
25613,32857,1750605,2359502
25652,32900,1753384,2362900
25692,32943,1756227,2366173
25733,32992,1759088,2370082
25781,33047,1762455,2374368
25883,33165,1769626,2383615
25922,33208,1772389,2386816
25973,33264,1775974,2391243
26018,33319,1779123,2395513
26070,33376,1782829,2399886
26113,33425,1785814,2403848
26194,33518,1791559,2411144
26231,33558,1794168,2414128
26288,33624,1798148,2419287
26334,33680,1801385,2423583
26384,33737,1804920,2427892
26426,33787,1807847,2432067
"832","976","58504","76675"
"890","1042","62572","81855"
"931","1090","65469","85730"
"967","1128","68015","88614"
"1026","1195","72163","94031"
"1068","1243","75118","97658"
"1171","1361","82369","106897"
"1228","1426","86371","111891"
"1279","1486","89999","116454"
"1333","1547","93787","121147"
"1378","1597","96896","125287"
"1430","1655","100610","129774"
"1482","1716","104257","134712"
"1579","1824","111127","143070"
"1630","1882","114736","147474"
"1676","1935","117952","151719"
"1729","1996","121712","156449"
"1817","2093","127873","164145"
"1867","2150","131372","168483"
"1926","2220","135555","174002"
"1973","2271","138854","177840"
"2074","2434","145326","187945"
"2743","3682","185452","258436"
"3077","4307","205400","293481"
"3404","4918","224945","327647"
"3812","5642","250039","370061"
"3869","5704","254028","374993"
"3916","5756","257349","378876"
"3974","5821","261486","384062"
"4066","5926","267954","392278"
"4124","5990","272039","397150"
"4170","6044","275252","401429"
"4231","6113","279518","406847"
"4278","6168","282863","411232"
"4363","6261","288884","418397"
"4411","6315","292254","422628"
"4471","6385","296448","428288"
"4514","6432","299519","431833"
"4618","6551","306825","441178"
"4674","6614","310767","446003"
"4724","6672","314263","450415"
"4836","6802","322157","460721"
"4893","6868","326189","465789"
"4940","6919","329480","469918"
"5030","7020","335863","477843"
"5082","7081","339527","482504"
"5140","7146","343595","487538"
"5245","7265","350948","496955"
"5292","7317","354313","500838"
"5340","7372","357683","505215"
"5389","7428","361105","509607"
"5488","7539","368123","518360"
"5536","7591","371513","522675"
"5576","7636","374361","526136"
"5679","7754","381579","535335"
"5740","7825","385872","540701"
"5788","7882","389280","545186"
"5839","7938","392876","549413"
"5885","7991","396089","553647"
"5988","8108","403321","562812"
"6033","8159","406496","566837"
"6085","8215","410172","571136"
"6176","8320","416582","579421"
"6238","8388","420972","584765"
"6284","8445","424179","589138"
"6350","8521","428813","595133"
"6395","8571","431977","599073"
"6490","8676","438737","607174"
"6536","8730","441939","611493"
"6584","8786","445353","615736"
"6634","8842","448866","620120"
"6680","8891","452091","623997"
"6814","9074","461137","636654"
"7123","9646","479739","669033"
"7428","10211","498060","701019"
"8041","11350","534862","765156"
"8343","11913","552970","796973"
"8416","12014","557876","803906"
"8523","12135","565394","813335"
"8570","12189","568706","817515"
"8626","12252","572637","822420"
"8669","12300","575697","826031"
"8792","12446","584296","837390"
"8838","12499","587545","841576"
"8882","12545","590696","845207"
"8923","12590","593580","848700"
"9035","12722","601443","859143"
"9085","12777","604970","863333"
"9144","12844","609140","868510"
"9192","12900","612496","872921"
"9286","13006","619129","880984"
"9335","13062","622565","885328"
"9386","13121","626138","889865"
"9502","13254","634296","900430"
"9551","13308","637815","904525"
"9602","13365","641372","909055"
"9662","13436","645580","914592"
"9714","13495","649244","919081"
"9819","13618","656651","928554"
"9883","13692","661109","934318"
"9925","13738","664092","937917"
"9983","13803","668133","943234"
"10479","14706","698200","994603"
"10777","15265","716025","1025793"
"11096","15853","735292","1059412"
"11610","16793","766345","1112679"
"11653","16845","769327","1116826"
"13754","19224","917373","1302907"
"13809","19289","921251","1308048"
"13915","19408","928728","1317497"
"13961","19457","931975","1321355"
"14014","19516","935722","1325908"
"14046","19553","937965","1328761"
"14111","19628","942533","1334591"
"14417","20156","961510","1365730"
"14732","20740","980426","1399061"
"15043","21316","999215","1431688"
"15659","22454","1036237","1495871"
"15805","22701","1045341","1510757"
"15859","22761","1049165","1515456"
"15912","22821","1052920","1520083"
"15961","22875","1056403","1524287"
"16061","22990","1063423","1533368"
"16107","23041","1066648","1537377"
"16160","23101","1070400","1542052"
"16272","23231","1078269","1552067"
"16328","23297","1082210","1557063"
"16377","23353","1085679","1561386"
"16432","23415","1089522","1566425"
"16527","23520","1096241","1574638"
"16581","23582","1100042","1579482"
"16632","23641","1103640","1584131"
"16683","23699","1107252","1588626"
"16791","23823","1114830","1598269"
"16844","23883","1118516","1603005"
"16891","23937","1121889","1607148"
"16943","23993","1125540","1611535"
"16994","24053","1129110","1616167"
"17098","24171","1136455","1625430"
"17147","24226","1139916","1629799"
"17198","24282","1143498","1634194"
"17252","24344","1147291","1638950"
"17311","24413","1151444","1644315"
"17413","24529","1158632","1653254"
"17474","24596","1162885","1658735"
"17517","24646","1165922","1662611"
"17610","24749","1172517","1670540"
"17667","24815","1176508","1675579"
"17725","24884","1180592","1681032"
"17776","24941","1184226","1685242"
"17867","25043","1190598","1693353"
"17924","25111","1194616","1698740"
"17967","25161","1197623","1702587"
"18028","25230","1201944","1707685"
"18142","25363","1209898","1718066"
"18191","25419","1213378","1722469"
"18245","25478","1217183","1727134"
"18292","25534","1220492","1731534"
"18340","25585","1223882","1735463"
"18438","25697","1230751","1744098"
"18487","25757","1234208","1748837"
"18548","25825","1238532","1754101"
"18585","25867","1241138","1757404"
"18635","25922","1244665","1761834"
"18726","26023","1251098","1769682"
"18775","26081","1254539","1774294"
"18830","26144","1258412","1779007"
"18878","26199","1261798","1783381"
"18978","26316","1268807","1792493"
"19030","26372","1272477","1796989"
"19076","26422","1275713","1800932"
"19129","26482","1279498","1805668"
"19177","26537","1282871","1809877"
"19284","26660","1290369","1819502"
"19328","26709","1293514","1823307"
"19375","26763","1296829","1827439"
"19431","26827","1300732","1832586"
"19480","26883","1304168","1836949"
"19571","26983","1310612","1844832"
"19618","27036","1313949","1848858"
"19675","27103","1317915","1854211"
"19726","27162","1321502","1858740"
"19827","27277","1328649","1867565"
"19876","27334","1332076","1871919"
"19941","27411","1336641","1877788"
"20042","27525","1343744","1886747"
"20086","27576","1346828","1890900"
"20134","27629","1350245","1894798"
"20186","27687","1353915","1899285"
"20288","27807","1361050","1908792"
"20330","27855","1364027","1912499"
"20385","27914","1367917","1917193"
"20428","27962","1370941","1921092"
"20533","28081","1378360","1930389"
"20573","28125","1381189","1933736"
"20621","28177","1384576","1937960"
"20670","28234","1387987","1942437"
"20779","28359","1395686","1951986"
"20831","28419","1399350","1956701"
"20876","28471","1402475","1960749"
"20929","28531","1406219","1965336"
"20984","28594","1410092","1970249"
"21028","28644","1413198","1974157"
"21121","28751","1419748","1982542"
"21176","28815","1423640","1987489"
"21230","28878","1427433","1992490"
"21277","28929","1430787","1996208"
"21330","28989","1434476","2001075"
"21436","29110","1441925","2010512"
"21477","29158","1444855","2014227"
"21533","29219","1448778","2018933"
"21583","29277","1452244","2023516"
"21641","29343","1456334","2028456"
"21693","29405","1460014","2033239"
"21796","29523","1467243","2042558"
"21840","29574","1470371","2046471"
"21894","29632","1474187","2051011"
"21933","29678","1476897","2054794"
"22036","29796","1484159","2063913"
"22074","29838","1486845","2067168"
"22136","29907","1491202","2072698"
"22183","29960","1494542","2076855"
"22287","30079","1501870","2086120"
"22329","30127","1504792","2089987"
"22384","30187","1508715","2094507"
"22433","30243","1512151","2098990"
"22537","30360","1519496","2108147"
"30522","39441","2081937","2816826"
"30577","39507","2085735","2821881"
"30631","39568","2089542","2826603"
"30680","39625","2092997","2831040"
"30770","39726","2099391","2839045"
"30820","39783","2102893","2843594"
"30871","39840","2106450","2848164"
"30927","39904","2110455","2853063"
"30968","39949","2113347","2856585"
"31023","40012","2117220","2861298"
"31074","40072","2120730","2866093"
"31176","40188","2127981","2875080"
"31361","40518","2139254","2894100"
"31674","41095","2158102","2926841"
"32297","42247","2195621","2992060"
"32603","42816","2213966","3024345"
"32811","43186","2226671","3045565"
"32882","43280","2231534","3052228"
"33478","44391","2267178","3114661"
"33784","44962","2285544","3147006"
"34097","45539","2304443","3179760"
"34554","46371","2332118","3227062"
"34858","46937","2350298","3259050"
"35165","47507","2368747","3291233"
"35780","48645","2405749","3355576"
"36044","49142","2421507","3383669"
"36103","49206","2425683","3388613"
"36144","49252","2428564","3392300"
"36260","49386","2436741","3402699"
"36315","49449","2440625","3407572"
"36366","49508","2444198","3412330"
"36425","49574","2448382","3417473"
"36474","49627","2451835","3421643"
"36520","49678","2455068","3425860"
"36616","49784","2461908","3434019"
"36666","49842","2465371","3438650"
"36719","49901","2469148","3443112"
"36780","49974","2473405","3448717"
"36836","50039","2477319","3453890"
"36937","50151","2484461","3462701"
"36989","50210","2488147","3467291"
"37039","50266","2491674","3471646"
"37079","50311","2494489","3475107"
"37144","50386","2499060","3481169"
"37241","50495","2505921","3489558"
"37283","50541","2508827","3493437"
"37339","50605","2512821","3498216"
"37389","50663","2516353","3502660"
"37444","50726","2520212","3507421"
"37547","50844","2527441","3516820"
"37600","50904","2531196","3521567"
"37646","50956","2534434","3525807"
"37748","51068","2541689","3534330"
"37796","51123","2545004","3538707"
"37853","51190","2548981","3544020"
"37904","51247","2552626","3548390"
"37995","51347","2559026","3556353"
"38139","51512","2569177","3568993"
"38199","51585","2573376","3574806"
"38243","51635","2576471","3578674"
"38292","51687","2579974","3582701"
"38339","51742","2583264","3587206"
"42155","56071","2852225","3925305"
"42166","56084","2852992","3926390"
"42174","56093","2853539","3927072"
"42186","56108","2854391","3928217"
"42199","56125","2855306","3929622"
"42210","56137","2856073","3930542"
"42225","56156","2857142","3931999"
"42324","56271","2864119","3941063"
"42337","56286","2865026","3942229"
"42362","56316","2866799","3944631"
"42368","56322","2867217","3945107"
"42377","56332","2867877","3945906"
"42386","56342","2868501","3946734"
"42396","56354","2869202","3947673"
"42913","57371","2899446","4003134"
"43177","57894","2914844","4031591"
"43438","58411","2930055","4059609"
"43764","59055","2949119","4094791"
"43779","59073","2950169","4096174"
"43793","59091","2951153","4097576"
"45267","60924","3054952","4241569"
"45288","60952","3056436","4243746"
"45332","61005","3059537","4248011"
"45519","61236","3072726","4266251"
"46152","62026","3117297","4328363"
"46174","62052","3118853","4330373"
"46211","62098","3121445","4333925"
"46225","62116","3122440","4335367"
"46266","62167","3125329","4339428"
"46275","62177","3125967","4340187"
"46451","62398","3138361","4357575"
"46457","62405","3138787","4358125"
"46892","62945","3169433","4400555"
"46899","62955","3169911","4401370"
"46927","62989","3171882","4404015"
"46932","62994","3172234","4404425"
"46943","63008","3173001","4405435"
"46949","63016","3173413","4406059"
"47012","63096","3177866","4412294"
"47012","63099","3177866","4412549"
"47012","63099","3177866","4412549"
"47012","63100","3177866","4412634"
"484","583","33962","46082"
"533","639","37420","50405"
"593","704","41673","55175"
"690","816","48465","64029"
"742","876","52137","68653"
"796","938","55911","73660"
"892","1045","62715","82093"
"936","1095","65821","85940"
"997","1161","70129","91016"
"1062","1243","74646","97535"
"1159","1349","81541","105894"
"1200","1394","84436","109347"
"1312","1524","92305","119402"
"1375","1594","96717","125038"
"1476","1708","103867","133968"
"1513","1748","106468","137104"
"1657","1989","115488","151493"
"2155","2903","145603","203644"
"2665","3834","176457","256557"
"2842","4148","187262","275060"
"2942","4260","194357","283799"
"5279","6908","359036","491243"
"5334","6970","362934","496122"
"5375","7016","365845","499718"
"5435","7081","370057","504779"
"5821","7764","393697","544420"
"6074","8229","408983","571113"
"6577","9146","439492","623358"
"6762","9473","450814","642303"
"8259","11183","556189","775254"
"8318","11252","560320","780499"
"8368","11310","563874","785063"
"8425","11375","567865","790276"
"8816","12073","591752","830547"
"9056","12519","606148","855810"
"9566","13446","637062","908443"
"9750","13760","648491","927047"
"9863","13893","656412","937447"
"9916","13954","660153","942169"
"9965","14005","663612","946210"
"11451","15696","768285","1078123"
"11647","15921","782111","1095798"
"14490","19140","982440","1348114"
"14541","19197","986074","1352484"
"14598","19261","990104","1357375"
"14706","19386","997679","1367052"
"14757","19444","1001247","1371587"
"14804","19496","1004587","1375699"
"14993","19825","1016302","1394984"
"15487","20733","1046056","1446683"
"15728","21178","1060576","1471752"
"15984","21644","1076079","1498316"
"16123","21880","1084735","1512479"
"17773","23753","1201023","1659061"
"17824","23807","1204622","1663369"
"17871","23863","1207912","1667740"
"17917","23912","1211203","1671497"
"18077","24144","1221759","1686916"
"18325","24598","1236775","1712784"
"18571","25050","1251599","1738427"
"19092","25993","1283233","1792500"
"19318","26392","1297066","1816021"
"19357","26436","1299878","1819285"
"19408","26491","1303499","1823438"
"19522","26623","1311489","1833785"
"19575","26686","1315202","1838914"
"19624","26740","1318663","1842998"
"19683","26804","1322842","1847953"
"26410","34461","1796592","2445355"
"26516","34584","1804079","2454940"
"26564","34636","1807458","2459055"
"26640","34748","1812459","2466191"
"27145","35671","1842968","2518920"
"27394","36124","1858045","2544605"
"27889","37023","1888121","2596278"
"30194","39641","2050473","2800878"
"30261","39717","2055209","2806646"
"30312","39777","2058782","2811409"
"30412","39887","2065850","2819920"
"30579","40178","2076160","2837105"
"30822","40625","2090762","2862519"
"31323","41545","2121075","2914661"
"31732","42270","2146102","2956882"
"31782","42326","2149637","2961426"
"33834","44659","2294168","3143527"
"33886","44718","2297871","3148240"
"33938","44777","2301499","3152918"
"34032","44881","2308171","3160833"
"34090","44950","2312211","3166246"
"34137","45007","2315517","3170699"
"34267","45178","2324290","3182540"
"34512","45627","2339068","3207886"
"35019","46552","2369778","3260678"
"35512","47448","2399687","3311993"
"36647","48744","2479587","3412960"
"36829","48947","2492425","3429060"
"37202","49372","2518648","3462269"
"37303","49487","2525814","3471182"
"37452","49656","2536276","3484278"
"37763","50014","2558166","3511955"
"37820","50080","2562179","3517074"
"37914","50181","2568827","3525087"
"38020","50359","2575423","3535990"
"38517","51272","2605466","3587939"
"38772","51734","2620951","3614063"
"39223","52554","2648226","3660957"
"42757","56668","2897355","3982945"
"42785","56703","2899334","3985584"
"42956","56915","2911354","4002222"
"42975","56938","2912704","4004045"
"43022","56995","2916008","4008531"
"43035","57012","2916926","4009827"
"43051","57033","2918050","4011435"
"43753","58421","2959033","4087020"
"44129","59149","2981222","4127392"
"44131","59151","2981365","4127524"
"44141","59164","2982077","4128628"
"44148","59172","2982580","4129244"
"44150","59175","2982723","4129461"
"44453","59773","3000413","4162092"
"44867","60592","3024570","4206613"
"45073","61002","3036558","4228932"
"45215","61275","3044966","4244073"
"45216","61277","3045043","4244224"
"45223","61284","3045538","4244726"
"45230","61293","3046030","4245427"
"45236","61301","3046445","4246062"
"45242","61310","3046868","4246811"
"45253","61323","3047646","4247816"
"45259","61330","3048072","4248366"
"45264","61336","3048424","4248821"
"45273","61347","3049048","4249734"
"45280","61356","3049562","4250395"
"45290","61368","3050263","4251334"
"45299","61380","3050884","4252281"
"45303","61384","3051159","4252585"
"45311","61394","3051739","4253392"
"45314","61398","3051948","4253755"
"45318","61403","3052223","4254224"
"45332","61420","3053218","4255501"
"45339","61429","3053718","4256191"
"45346","61437","3054213","4256778"
"45353","61445","3054708","4257485"
"45360","61453","3055192","4258152"
"45369","61465","3055835","4259059"
"45375","61473","3056250","4259734"
"45379","61478","3056533","4260112"
"45389","61489","3057237","4260977"
"45394","61495","3057600","4261472"
"45399","61502","3057938","4262081"
"45408","61512","3058587","4262800"
"45414","61519","3058991","4263350"
"45425","61534","3059777","4264554"
"45428","61537","3059986","4264832"
"45433","61544","3060346","4265361"
"45439","61551","3060775","4265882"
"45444","61558","3061124","4266491"
"45454","61570","3061836","4267390"
"45458","61574","3062111","4267734"
"45469","61589","3062875","4268938"
"45472","61592","3063106","4269136"
"45479","61601","3063587","4269837"
"45492","61618","3064502","4271162"
"45495","61622","3064711","4271485"
"45504","61633","3065346","4272358"
"45509","61639","3065695","4272802"
"45517","61649","3066267","4273580"
"45522","61655","3066605","4274064"
"45530","61666","3067160","4274945"
"45538","61675","3067743","4275598"
"45542","61681","3068026","4276061"
"45551","61692","3068650","4277014"
"45557","61698","3069090","4277490"
"45563","61706","3069519","4278096"
"45569","61714","3069931","4278760"
"45572","61718","3070140","4279083"
"45582","61730","3070841","4280022"
"45586","61735","3071127","4280451"
"45594","61745","3071696","4281218"
"45604","61757","3072394","4282186"
"45605","61759","3072471","4282337"
"45616","61772","3073238","4283302"
"1406","1651","99179","131625"
"1558","1810","109982","144674"
"1712","1974","120889","158189"
"1865","2138","131771","171352"
"2010","2293","142051","183993"
"2258","2565","159618","205919"
"2438","2762","172203","221716"
"2724","3117","192089","249624"
"66","98","4417","7585"
"143","198","9858","15532"
"209","271","14595","21388"
"284","353","19890","27987"
"345","419","24201","33354"
"451","537","31695","42660"
"534","633","37511","50391"
"606","713","42649","56506"
"681","795","47911","63185"
"792","934","55681","74133"
"988","1184","69344","93724"
"1170","1398","82416","110411"
"1306","1542","92009","122430"
"1464","1710","103224","136209"
"1685","1947","118890","155761"
"2193","2486","155021","199707"
"2384","2700","168455","216757"
"3360","3898","237316","312162"
"3766","4358","266296","348165"
"4174","4805","294939","384641"
"4567","5228","322946","418450"
"5144","5851","363789","469638"
"5528","6268","391086","502947"
"5909","6669","417910","535752"
"6304","7093","446085","570019"
